Description,Average branch length,Average contraction,Depth,Height,Highest path order,Cable length,Mean radius,No. of branch points,No. of branches,No. of nodes,No. of paths,No. of primary branches,No. of inner branches,No. of terminal branches,No. of tips,Length of primary branches (sum),Length of inner branches (sum),Length of terminal branches (sum),Horton-Strahler number,Horton-Strahler bifurcation ratio,Width
AA0405 [axon],85.190327098693,0.910009227351629,2077.992208,2016.053924125,40,67555.9293892636,0.059764641057935,396,793,2641,397,1,5,397,397,996.984180202896,3933.38466442934,21736.2050532608,5,4.44674785367675,4268.9004055
AA0610 [axon],68.0921325942869,0.880828320235436,1205.548635125,1035.5028004375,17,29347.7091481376,0.202812888187552,215,431,5820,216,1,2,216,216,1551.13134174968,1558.62245171808,14243.1435740801,6,2.8130025974026,2433.286436
AA0174 [axon],156.561910018648,0.898068811291483,5467.073500625,3514.82981,27,74680.0310788951,0.042249607740586,238,477,2346,239,1,9,239,239,209.512102949981,2479.595322287,27073.8900624187,5,2.7079105283534,3357.20675925
AA0175 [axon],164.990662744601,0.946614687164346,5783.2885915625,5303.88319725001,62,123578.006395706,0.029510416666667,374,749,2458,375,1,9,375,375,283.989065825613,5306.46591144531,43198.1792995939,5,2.9012486909226,3528.64106099999
AA0808 [axon],143.800475088492,0.92829132259962,4361.175770375,3871.9581454375,24,80384.4655744669,0.094376682018397,279,559,3440,280,1,12,280,280,159.899325636259,4605.46762938612,20613.975413669,5,2.43764880952381,2088.8120845
AA0389 [axon],559.894107252623,0.819439780616007,9027.542338375,5930.1789675625,18,173007.27914106,0.465389722632758,154,309,18954,155,1,1,155,155,170.006974267697,170.006974267697,46684.913257306,6,3.76124712996431,6479.85511450001
AA0768 [axon],93.3040142396419,0.883869621519324,5614.67847425,4514.6559276875,36,162722.200833936,0.189264441910522,870,1744,24655,874,1,6,874,874,118.388617359831,512.942098491326,39405.924160148,6,3.10597354350468,3645.94042949999
AA0488 [axon],302.836937175324,0.900338628837541,4111.980606,5551.19913325,17,56630.5072517856,0.113115026595745,93,187,1268,94,1,2,94,94,198.438028567913,244.191215547073,14462.1534515684,5,3.01130952380952,3367.05087975
AA0330 [axon],399.690569290237,0.918813400583291,3599.380774,5231.1405965,16,94726.6649217862,0.125328256302521,118,237,1791,119,1,3,119,119,1860.89954507057,5108.49879994668,30411.0304104573,5,2.72675324675325,4871.679548
AA0443 [axon],77.0466446865067,0.918951772992325,4298.3533961875,4210.08375825,59,101855.664275562,0.060390742835596,659,1322,4463,663,1,15,663,663,137.71029269277,4059.83783863265,28439.3976086697,6,2.2190292402144,3367.05660775
AA0178 [axon],113.802623338358,0.894894142674859,1257.35764175,1123.2109115,11,33457.9712614774,0.042836782094595,146,294,1474,148,1,12,148,148,418.795989625236,2097.56594494217,17455.8107544744,5,2.04705284552846,2604.60141475
AA0266 [axon],74.5112363461044,0.919645438402604,1146.963193625,827.12411674999,18,27345.6237390203,0.069845448369565,183,367,1462,184,1,5,184,184,1752.36391573897,2128.33554108868,11740.5591080277,5,2.67958036587069,3228.17217425
AA0177 [axon],233.724100948151,0.877763326731986,4409.8652775625,3958.42691875,13,57262.4047322971,0.046303353658537,122,245,1333,123,1,2,123,123,1673.71118072719,2491.07265145423,15882.708014856,5,3.03497156438333,2882.02481
